x,y,layer1,layer2,voltage1,voltage2,current
222.103,1628.29,LAYER_1,LAYER_2,0.0365656,0.0365656,-5.00571e-05
222.103,1628.29,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-5.00571e-05
222.103,1667.66,TOP_LAYER,LAYER_1,0.0365655,0.0365655,1.94259e-05
222.103,1667.66,LAYER_1,LAYER_2,0.0365655,0.0365656,-3.63607e-05
222.103,1667.66,LAYER_2,BOTTOM_LAYER,0.0365656,0.0365656,-3.63607e-05
222.103,1707.03,TOP_LAYER,LAYER_1,0.0365655,0.0365655,2.73823e-05
222.103,1707.03,LAYER_1,LAYER_2,0.0365655,0.0365655,-3.41762e-05
222.103,1707.03,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-3.41762e-05
222.103,1746.4,TOP_LAYER,LAYER_1,0.0365654,0.0365654,5.85726e-05
222.103,1746.4,LAYER_1,LAYER_2,0.0365654,0.0365655,-4.73321e-05
222.103,1746.4,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365655,-4.73321e-05
300.843,762.149,TOP_LAYER,LAYER_1,0.0365682,0.0365682,-0.000295828
300.843,762.149,LAYER_1,LAYER_2,0.0365682,0.0365685,-0.000304347
300.843,762.149,LAYER_2,BOTTOM_LAYER,0.0365685,0.0365686,-0.000304347
300.843,801.519,TOP_LAYER,LAYER_1,0.036568,0.0365681,-0.0002186
300.843,801.519,LAYER_1,LAYER_2,0.0365681,0.0365683,-0.00027153
300.843,801.519,LAYER_2,BOTTOM_LAYER,0.0365683,0.0365684,-0.00027153
300.843,840.889,TOP_LAYER,LAYER_1,0.0365679,0.0365679,-0.000142156
300.843,840.889,LAYER_1,LAYER_2,0.0365679,0.0365682,-0.000247538
300.843,840.889,LAYER_2,BOTTOM_LAYER,0.0365682,0.0365682,-0.000247538
300.843,880.259,TOP_LAYER,LAYER_1,0.0365677,0.0365678,-9.32534e-05
300.843,880.259,LAYER_1,LAYER_2,0.0365678,0.036568,-0.000234425
300.843,880.259,LAYER_2,BOTTOM_LAYER,0.036568,0.036568,-0.000234425
300.843,919.629,TOP_LAYER,LAYER_1,0.0365676,0.0365676,-5.46303e-05
300.843,919.629,LAYER_1,LAYER_2,0.0365676,0.0365678,-0.000229829
300.843,919.629,LAYER_2,BOTTOM_LAYER,0.0365678,0.0365679,-0.000229829
300.843,958.999,TOP_LAYER,LAYER_1,0.0365674,0.0365674,-1.66355e-05
300.843,958.999,LAYER_1,LAYER_2,0.0365674,0.0365677,-0.000233031
300.843,958.999,LAYER_2,BOTTOM_LAYER,0.0365677,0.0365677,-0.000233031
300.843,998.369,TOP_LAYER,LAYER_1,0.0365673,0.0365673,3.9148e-05
300.843,998.369,LAYER_1,LAYER_2,0.0365673,0.0365675,-0.000246943
300.843,998.369,LAYER_2,BOTTOM_LAYER,0.0365675,0.0365676,-0.000246943
300.843,1037.74,TOP_LAYER,LAYER_1,0.0365671,0.0365671,0.000236701
300.843,1037.74,LAYER_1,LAYER_2,0.0365671,0.0365674,-0.000292397
300.843,1037.74,LAYER_2,BOTTOM_LAYER,0.0365674,0.0365675,-0.000292397
323.312,109.759,TOP_LAYER,LAYER_1,0.0365709,0.0365709,1.22943e-05
323.312,109.759,LAYER_1,LAYER_2,0.0365709,0.0365709,-4.72984e-05
323.312,109.759,LAYER_2,BOTTOM_LAYER,0.0365709,0.0365709,-4.72984e-05
418.954,1549.55,TOP_LAYER,LAYER_1,0.0365652,0.0365652,6.53385e-05
418.954,1549.55,LAYER_1,LAYER_2,0.0365652,0.0365655,-0.000298157
418.954,1549.55,LAYER_2,BOTTOM_LAYER,0.0365655,0.0365656,-0.000298157
418.954,1588.92,TOP_LAYER,LAYER_1,0.0365652,0.0365652,-1.32603e-05
418.954,1588.92,LAYER_1,LAYER_2,0.0365652,0.0365654,-0.000197957
418.954,1588.92,LAYER_2,BOTTOM_LAYER,0.0365654,0.0365655,-0.000197957
418.954,1628.29,TOP_LAYER,LAYER_1,0.0365652,0.0365652,1.81844e-05
418.954,1628.29,LAYER_1,LAYER_2,0.0365652,0.0365654,-0.000156639
418.954,1628.29,LAYER_2,BOTTOM_LAYER,0.0365654,0.0365654,-0.000156639
418.954,1667.66,TOP_LAYER,LAYER_1,0.0365652,0.0365652,1.74774e-05
418.954,1667.66,LAYER_1,LAYER_2,0.0365652,0.0365653,-0.000135798
418.954,1667.66,LAYER_2,BOTTOM_LAYER,0.0365653,0.0365654,-0.000135798
418.954,1707.03,TOP_LAYER,LAYER_1,0.0365651,0.0365651,5.51309e-05
418.954,1707.03,LAYER_1,LAYER_2,0.0365651,0.0365653,-0.000143721
418.954,1707.03,LAYER_2,BOTTOM_LAYER,0.0365653,0.0365653,-0.000143721
418.954,1746.4,TOP_LAYER,LAYER_1,0.0365651,0.0365651,0.000205627
418.954,1746.4,LAYER_1,LAYER_2,0.0365651,0.0365653,-0.000198261
418.954,1746.4,LAYER_2,BOTTOM_LAYER,0.0365653,0.0365653,-0.000198261
441.423,109.759,TOP_LAYER,LAYER_1,0.0365714,0.0365713,0.000140043
441.423,109.759,LAYER_1,LAYER_2,0.0365713,0.0365713,5.90918e-07
441.423,109.759,LAYER_2,BOTTOM_LAYER,0.0365713,0.0365713,5.90918e-07
480.793,1546.77,TOP_LAYER,LAYER_1,0.0365649,0.0365649,0.000296916
480.793,1546.77,LAYER_1,LAYER_2,0.0365649,0.0365654,-0.000703395
480.793,1546.77,LAYER_2,BOTTOM_LAYER,0.0365654,0.0365655,-0.000703395
480.793,1605.82,TOP_LAYER,LAYER_1,0.0365649,0.0365649,0.00025121
480.793,1605.82,LAYER_1,LAYER_2,0.0365649,0.0365653,-0.000559496
480.793,1605.82,LAYER_2,BOTTOM_LAYER,0.0365653,0.0365654,-0.000559496
480.793,1664.88,TOP_LAYER,LAYER_1,0.0365649,0.0365649,0.000306952
480.793,1664.88,LAYER_1,LAYER_2,0.0365649,0.0365652,-0.000487552
480.793,1664.88,LAYER_2,BOTTOM_LAYER,0.0365652,0.0365653,-0.000487552
480.793,1723.93,TOP_LAYER,LAYER_1,0.0365649,0.0365648,0.00045855
480.793,1723.93,LAYER_1,LAYER_2,0.0365648,0.0365652,-0.000521608
480.793,1723.93,LAYER_2,BOTTOM_LAYER,0.0365652,0.0365653,-0.000521608
480.793,1920.78,TOP_LAYER,LAYER_1,0.0365647,0.0365646,0.00065857
480.793,1920.78,LAYER_1,LAYER_2,0.0365646,0.0365651,-0.000669407
480.793,1920.78,LAYER_2,BOTTOM_LAYER,0.0365651,0.0365652,-0.000669407
559.533,109.759,TOP_LAYER,LAYER_1,0.0365719,0.0365719,0.000154796
559.533,109.759,LAYER_1,LAYER_2,0.0365719,0.0365719,1.38582e-05
559.533,109.759,LAYER_2,BOTTOM_LAYER,0.0365719,0.0365719,1.38582e-05
717.013,267.239,TOP_LAYER,LAYER_1,0.0365726,0.0365726,0.00060213
717.013,267.239,LAYER_1,LAYER_2,0.0365726,0.0365725,8.05298e-05
717.013,267.239,LAYER_2,BOTTOM_LAYER,0.0365725,0.0365725,8.05298e-05
795.753,267.239,TOP_LAYER,LAYER_1,0.0365731,0.036573,0.000174348
795.753,267.239,LAYER_1,LAYER_2,0.036573,0.036573,-6.37213e-06
