Circuit: * C:\GitHub\MarkHarris\sim\LT3756-2_boost160w_seoul_with_pwm.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0167481 to 0.0167481
Heightened Def Con from 0.0171541 to 0.0171541
Heightened Def Con from 0.0171617 to 0.0171617
Heightened Def Con from 0.017508 to 0.017508
Heightened Def Con from 0.0175118 to 0.0175118
Heightened Def Con from 0.0175232 to 0.0175232
Heightened Def Con from 0.0175308 to 0.0175308
Heightened Def Con from 0.0175423 to 0.0175423
Heightened Def Con from 0.0175461 to 0.0175461
Heightened Def Con from 0.0175537 to 0.0175537
Heightened Def Con from 0.0175803 to 0.0175803
Heightened Def Con from 0.0175918 to 0.0175918
Heightened Def Con from 0.01763 to 0.01763
Heightened Def Con from 0.0177254 to 0.0177254
Heightened Def Con from 0.0177445 to 0.0177445
Heightened Def Con from 0.0180269 to 0.0180269
Heightened Def Con from 0.0181973 to 0.0181973
Heightened Def Con from 0.0182125 to 0.0182125
Heightened Def Con from 0.0182276 to 0.0182276
Heightened Def Con from 0.0182352 to 0.0182352
Heightened Def Con from 0.0185041 to 0.0185041
Heightened Def Con from 0.0185154 to 0.0185155
Heightened Def Con from 0.018523 to 0.018523
Heightened Def Con from 0.0185267 to 0.0185267
Heightened Def Con from 0.0185607 to 0.0185607
Heightened Def Con from 0.0186021 to 0.0186021
Heightened Def Con from 0.0186474 to 0.0186474
Heightened Def Con from 0.0186512 to 0.0186512
Heightened Def Con from 0.0186625 to 0.0186625
Heightened Def Con from 0.01867 to 0.01867
Heightened Def Con from 0.0186738 to 0.0186738
Heightened Def Con from 0.0186776 to 0.0186776
Heightened Def Con from 0.0186927 to 0.0186927
Heightened Def Con from 0.0186965 to 0.0186965
Heightened Def Con from 0.0187153 to 0.0187153
Heightened Def Con from 0.0190079 to 0.0190079
Heightened Def Con from 0.0190116 to 0.0190116
Heightened Def Con from 0.0190229 to 0.0190229
Heightened Def Con from 0.0190342 to 0.0190342
Heightened Def Con from 0.0190454 to 0.0190454
Heightened Def Con from 0.0190867 to 0.0190867
Heightened Def Con from 0.0192033 to 0.0192033
Heightened Def Con from 0.0192444 to 0.0192445
Heightened Def Con from 0.0192482 to 0.0192482
Heightened Def Con from 0.0195078 to 0.0195078
Heightened Def Con from 0.0195116 to 0.0195116
Heightened Def Con from 0.0195266 to 0.0195266
Heightened Def Con from 0.0195787 to 0.0195787
Heightened Def Con from 0.0195899 to 0.0195899
Heightened Def Con from 0.0195937 to 0.0195937
Heightened Def Con from 0.0196798 to 0.0196798
Heightened Def Con from 0.0200041 to 0.0200041
Heightened Def Con from 0.0200302 to 0.0200302
Heightened Def Con from 0.0201232 to 0.0201232
Heightened Def Con from 0.0206377 to 0.0206378
Heightened Def Con from 0.02066 to 0.02066
Heightened Def Con from 0.0206785 to 0.0206785
Heightened Def Con from 0.020697 to 0.020697
Heightened Def Con from 0.0207008 to 0.0207008
Heightened Def Con from 0.0207045 to 0.0207045
Heightened Def Con from 0.0207231 to 0.0207231
Heightened Def Con from 0.0207268 to 0.0207268
Heightened Def Con from 0.0207306 to 0.0207306
Heightened Def Con from 0.020738 to 0.020738
Heightened Def Con from 0.0207417 to 0.0207417
Heightened Def Con from 0.0210115 to 0.0210115
Heightened Def Con from 0.0210152 to 0.0210152
Heightened Def Con from 0.02103 to 0.02103
Heightened Def Con from 0.0210374 to 0.0210374
Heightened Def Con from 0.0210411 to 0.0210411
Heightened Def Con from 0.0210448 to 0.0210448
Heightened Def Con from 0.0210486 to 0.0210486
Heightened Def Con from 0.021056 to 0.021056
Heightened Def Con from 0.021067 to 0.021067
Heightened Def Con from 0.0210708 to 0.0210708
Heightened Def Con from 0.0210745 to 0.0210745
Heightened Def Con from 0.0210819 to 0.0210819
Heightened Def Con from 0.021093 to 0.021093
Heightened Def Con from 0.0210967 to 0.0210967
Heightened Def Con from 0.0211004 to 0.0211004
Heightened Def Con from 0.0211153 to 0.0211153
Heightened Def Con from 0.021119 to 0.021119
Heightened Def Con from 0.0211227 to 0.0211227
Heightened Def Con from 0.0211338 to 0.0211338
Heightened Def Con from 0.0211449 to 0.0211449
Heightened Def Con from 0.0211708 to 0.0211708
Heightened Def Con from 0.0211855 to 0.0211855
Heightened Def Con from 0.0211893 to 0.0211893
Heightened Def Con from 0.0212263 to 0.0212263
Heightened Def Con from 0.02123 to 0.02123
Heightened Def Con from 0.0212411 to 0.0212411
Heightened Def Con from 0.0215078 to 0.0215078
Heightened Def Con from 0.0215263 to 0.0215263
Heightened Def Con from 0.0215337 to 0.0215337
Heightened Def Con from 0.0215374 to 0.0215374
Heightened Def Con from 0.0215522 to 0.0215522
Heightened Def Con from 0.0215559 to 0.0215559
