Circuit: * \\r5server\Mark\Altium Projects\150WLEDDriver_LT3756-2\LTspice sim\LT3756-2_boost160w_seoul_pwm.asc

WARNING: Less than two connections to node NC_01.  This node is used by V2.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0119629 to 0.0119629
Heightened Def Con from 0.0119922 to 0.0119922
Heightened Def Con from 0.0119971 to 0.0119971
Heightened Def Con from 0.012002 to 0.012002
Heightened Def Con from 0.0121185 to 0.0121185
Heightened Def Con from 0.0122481 to 0.0122481
Heightened Def Con from 0.0124278 to 0.0124278
Heightened Def Con from 0.012493 to 0.012493
Heightened Def Con from 0.0126774 to 0.0126774
Heightened Def Con from 0.0126956 to 0.0126956
Heightened Def Con from 0.0127002 to 0.0127002
Heightened Def Con from 0.0127276 to 0.0127276
Heightened Def Con from 0.0127367 to 0.0127367
Heightened Def Con from 0.0127412 to 0.0127412
Heightened Def Con from 0.0127549 to 0.0127549
Heightened Def Con from 0.0127956 to 0.0127956
Heightened Def Con from 0.0128046 to 0.0128046
Heightened Def Con from 0.0128092 to 0.0128092
Heightened Def Con from 0.0128182 to 0.0128182
Heightened Def Con from 0.0128227 to 0.0128227
Heightened Def Con from 0.0128273 to 0.0128273
Heightened Def Con from 0.0128498 to 0.0128498
Heightened Def Con from 0.0128543 to 0.0128543
Heightened Def Con from 0.0128588 to 0.0128588
Heightened Def Con from 0.0128722 to 0.0128722
Heightened Def Con from 0.0128813 to 0.0128813
Heightened Def Con from 0.0128858 to 0.0128858
Heightened Def Con from 0.0129485 to 0.0129485
Heightened Def Con from 0.0129797 to 0.0129797
Heightened Def Con from 0.0129929 to 0.0129929
Heightened Def Con from 0.0129974 to 0.0129974
Heightened Def Con from 0.0130107 to 0.0130107
Heightened Def Con from 0.0130285 to 0.0130285
Heightened Def Con from 0.0130329 to 0.0130329
Heightened Def Con from 0.0131081 to 0.0131081
Heightened Def Con from 0.0131125 to 0.0131125
Heightened Def Con from 0.013152 to 0.013152
Heightened Def Con from 0.0131564 to 0.0131564
Heightened Def Con from 0.0131696 to 0.0131696
Heightened Def Con from 0.0131828 to 0.0131828
Heightened Def Con from 0.0131915 to 0.0131915
Heightened Def Con from 0.0132135 to 0.0132135
Heightened Def Con from 0.0132178 to 0.0132179
Heightened Def Con from 0.0132789 to 0.0132789
Heightened Def Con from 0.013344 to 0.013344
Heightened Def Con from 0.01337 to 0.01337
Heightened Def Con from 0.0133744 to 0.0133744
Heightened Def Con from 0.013383 to 0.013383
Heightened Def Con from 0.0134089 to 0.0134089
Heightened Def Con from 0.0134218 to 0.0134219
Heightened Def Con from 0.0134821 to 0.0134821
Heightened Def Con from 0.0135336 to 0.0135336
Heightened Def Con from 0.0135635 to 0.0135635
Heightened Def Con from 0.0136233 to 0.0136233
Heightened Def Con from 0.0137166 to 0.0137166
Heightened Def Con from 0.013725 to 0.013725
Heightened Def Con from 0.0137716 to 0.0137716
Heightened Def Con from 0.0138011 to 0.0138011
Heightened Def Con from 0.0138558 to 0.0138558
Heightened Def Con from 0.0138684 to 0.0138684
Heightened Def Con from 0.0138851 to 0.0138851
Heightened Def Con from 0.0138977 to 0.0138977
Heightened Def Con from 0.0139061 to 0.0139061
Heightened Def Con from 0.0139271 to 0.0139271
Heightened Def Con from 0.0139438 to 0.0139438
Heightened Def Con from 0.0140023 to 0.0140023

Date: Tue Jan 14 10:47:08 2020
Total elapsed time: 25.607 seconds.

tnom = 27
temp = 27
method = modified trap
totiter = 2981747
traniter = 2981715
tranpoints = 806468
accept = 604406
rejected = 202257
matrix size = 76
fillins = 46
solver = Normal
Matrix Compiler1: 7.46 KB object code size  1.1/0.8/[0.4]
Matrix Compiler2: 6.69 KB object code size  0.6/0.7/[0.3]

